ID,nom,fonction,annees,statut,parent,public,similaire-a,wikidata,comptoir-du-libre,licence,secteur,composant,contexte-usage,groupe,version
81,LireCouleur,Ensemble d’outils destiné à aider les lecteurs débutants ou en difficulté à décoder les mots en utilisant les principes de la lecture en couleur,2019 ; 2020,R,LibreOffice,,,,287,LGPL-v2.1,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,5
82,Logstash,Gestion des logs en mode centralisé,2018 ; 2019 ; 2020,R,,,,Q17620247,203,Apache-2.0,Sécurité,Gestion des logs,Serveur Bureautique,MIMPROD,6.x
83,Mantis BT,Outil de remontée de bug,2018 ; 2019 ; 2020,R,,,,,174,,Conception & Développement,Gestion des Anomalies,,MIMDEV,1.X
84,MariaDB,Base transactionnelle cluster,2018 ; 2019 ; 2020,R,,,,Q787177,206,,Données et contenu,Bd Relationnelles,Base de production,MIMPROD,10.3
85,Mastodon,Microblogue,2019 ; 2020,R,,,,Q27986619,283,,Orchestration et logique métier,Outil collaboratif,[mastodon.etalab.gouv.fr](https://mastodon.etalab.gouv.fr),MIMO,3.0.1
86,MediaWiki,Wiki,2018 ; 2019 ; 2020,R,,,,Q83,122,,Orchestration et logique métier,Outil collaboratif,,MIMO,
87,Mobile,Affichage de GLPI pour terminaux mobiles et tablettes,2018 ; 2019 ; 2020,O,GLPI,,,,,GPL-2.0-only,Opérations,Déploiement gestion d’actif et de configuration,Gestion parc,MIMO,1.1.6
88,MongoDB,Base de données NoSQL,2018 ; 2019,R,,,,Q1165204,208,,Données et contenu,Gestionnaire de données non relationnelles,,MIMPROD,
89,Mozilla Firefox (Extended Support Release),Navigateur,2018 ; 2019 ; 2020,R,,,,Q698,82,MPL-2.0,Espace utilisateur et canal,Navigateur web,Navigateur,MIMO,68
90,MultiDiff,Diffusion multiformat,2018 ; 2019 ; 2020,R,LibreOffice,,,,77,LGPL-2.0-only,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,1.3.0
91,MuPDF,Outil de visualisation de PDF,2018 ; 2019 ; 2020,R,,,,Q6930567,291,AGPL-3.0,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,
92,NAPS2,Outil de scan de PDF,2020,R,,,,,351,GPL-2.0-only,Espace utilisateur et canal,Outil de productivité,,MIMO,5.8.2
93,NextCloud,Partage de fichiers,2019 ; 2020,R,,,,Q25874683,117,,Orchestration et logique métier,Outil collaboratif,,MIMO,17.0.3
